Season,Tour,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee
2017/18,1,20:45:00,Leicester,home,4,3,Emirates Stadium,59387,Arsène Wenger,Mike Dean
2017/18,2,18:30:00,Stoke City,away,0,1,bet365 Stadium,29459,Arsène Wenger,Andre Marriner
2017/18,3,17:00:00,Liverpool,away,0,4,Anfield,53206,Arsène Wenger,Craig Pawson
2017/18,4,16:00:00,Bournemouth,home,3,0,Emirates Stadium,59262,Arsène Wenger,Anthony Taylor
2017/18,5,14:30:00,Chelsea,away,0,0,Stamford Bridge,41478,Arsène Wenger,Michael Oliver
2017/18,6,21:00:00,West Brom,home,2,0,Emirates Stadium,59134,Arsène Wenger,Bobby Madley
2017/18,7,13:00:00,Brighton,home,2,0,Emirates Stadium,59378,Arsène Wenger,Kevin Friend
2017/18,8,18:30:00,Watford,away,1,2,Vicarage Road,20384,Arsène Wenger,Neil Swarbrick
2017/18,9,14:30:00,Everton,away,5,2,Goodison Park,39189,Arsène Wenger,Craig Pawson
2017/18,10,16:00:00,Swansea,home,2,1,Emirates Stadium,59493,Arsène Wenger,Lee Mason
2017/18,11,15:15:00,Man City,away,1,3,Etihad Stadium,54286,Arsène Wenger,Michael Oliver
2017/18,12,13:30:00,Tottenham,home,2,0,Emirates Stadium,59530,Arsène Wenger,Mike Dean
2017/18,13,15:00:00,Burnley,away,1,0,Turf Moor,21722,Arsène Wenger,Lee Mason
2017/18,14,20:45:00,Huddersfield,home,5,0,Emirates Stadium,59285,Arsène Wenger,Graham Scott
2017/18,15,18:30:00,Man Utd,home,1,3,Emirates Stadium,59547,Arsène Wenger,Andre Marriner
2017/18,16,13:00:00,Southampton,away,1,1,St Mary's Stadium,31643,Arsène Wenger,Bobby Madley
2017/18,17,21:00:00,West Ham,away,0,0,London Stadium,56925,Arsène Wenger,Jonathan Moss
2017/18,18,16:00:00,Newcastle,home,1,0,Emirates Stadium,59379,Arsène Wenger,Stuart Attwell
2017/18,19,20:45:00,Liverpool,home,3,3,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson
2017/18,20,21:00:00,Crystal Palace,away,3,2,Selhurst Park,25762,Arsène Wenger,Michael Oliver
2017/18,21,17:30:00,West Brom,away,1,1,The Hawthorns,26233,Arsène Wenger,Mike Dean
2017/18,22,20:45:00,Chelsea,home,2,2,Emirates Stadium,59379,Arsène Wenger,Anthony Taylor
2017/18,23,14:30:00,Bournemouth,away,1,2,Vitality Stadium,10836,Arsène Wenger,Kevin Friend
2017/18,24,16:00:00,Crystal Palace,home,4,1,Emirates Stadium,59386,Arsène Wenger,Chris Kavanagh
2017/18,25,20:45:00,Swansea,away,1,3,Swansea.com Stadium,20819,Arsène Wenger,Lee Mason
2017/18,26,18:30:00,Everton,home,5,1,Emirates Stadium,59306,Arsène Wenger,Neil Swarbrick
2017/18,27,13:30:00,Tottenham,away,0,1,Wembley Stadium,83222,Arsène Wenger,Anthony Taylor
2017/18,28,20:45:00,Man City,home,0,3,Emirates Stadium,58420,Arsène Wenger,Andre Marriner
2017/18,29,14:30:00,Brighton,away,1,2,AMEX Stadium,30620,Arsène Wenger,Stuart Attwell
2017/18,30,14:30:00,Watford,home,3,0,Emirates Stadium,59131,Arsène Wenger,Martin Atkinson
2017/18,32,14:30:00,Stoke City,home,3,0,Emirates Stadium,59371,Arsène Wenger,Craig Pawson
2017/18,33,15:15:00,Southampton,home,3,2,Emirates Stadium,59374,Arsène Wenger,Andre Marriner
2017/18,34,14:30:00,Newcastle,away,1,2,St James' Park,52210,Arsène Wenger,Anthony Taylor
2017/18,35,14:30:00,West Ham,home,4,1,Emirates Stadium,59422,Arsène Wenger,Lee Mason
2017/18,36,17:30:00,Man Utd,away,1,2,Old Trafford,75035,Arsène Wenger,Kevin Friend
2017/18,37,17:30:00,Burnley,home,5,0,Emirates Stadium,59540,Arsène Wenger,Andre Marriner
2017/18,31,20:45:00,Leicester,away,1,3,King Power Stadium,32095,Arsène Wenger,Graham Scott
2017/18,38,16:00:00,Huddersfield,away,1,0,John Smith's Stadium,24122,Arsène Wenger,Michael Oliver
